"Rk","Player","Nation","Pos","Competition","Squad","Age","Born","noventas","Gls","Sh","SoT","SoT%","Sh_noventa","SoT_noventa","G_Sh","G_SoT","Dist","FK","PK","PKatt","xG","npxG","npxG_Sh","G_xG","npG-xG","Pos_main","Pos_secondary"
1849,"Amir Rrahmani","KVX","DF","Serie A","Napoli",27,1994,15.5,2,9,4,"44.4","0.58","0.26",0.22,"0.50",8.7,0,0,0,1.1,1.1,0.13,0.9,"+0.9","DF",""
1333,"Amos Pieper","GER","DF","Bundesliga","Arminia",23,1998,16,0,9,0,"0.0","0.56","0.00",0,NA,14.8,0,0,0,0.7,0.7,0.07,-0.7,"-0.7","DF",""
2127,"Anastasios Donis","GRE","FWMF","Ligue 1","Reims",25,1996,2.6,0,9,1,"11.1","3.40","0.38",0,"0.00",20.7,0,0,0,0.7,0.7,0.08,-0.7,"-0.7","FW","MF"
531,"Ander Barrenetxea","ESP","FWMF","La Liga","Real Sociedad",20,2001,6,1,8,2,"25.0","1.33","0.33",0.13,"0.50",16.2,0,0,0,0.4,0.4,0.04,0.6,"+0.6","FW","MF"
682,"Ander Guevara","ESP","MF","La Liga","Real Sociedad",24,1997,6.1,0,2,0,"0.0","0.33","0.00",0,NA,24.3,0,0,0,0.1,0.1,0.04,-0.1,"-0.1","MF",""
2205,"Ander Herrera","ESP","MF","Ligue 1","Paris S-G",32,1989,9.4,3,9,3,"33.3","0.96","0.32",0.33,"1.00",17.9,0,0,0,0.8,0.8,0.09,2.2,"+2.2","MF",""
1710,"Anderson Lima","BRA","MF","Serie A","Lazio",22,1999,0.6,0,1,0,"0.0","1.73","0.00",0,NA,6.3,0,0,0,0.1,0.1,0.05,-0.1,"-0.1","MF",""
1251,"Anderson Lucoqui","ANG","DF","Bundesliga","Mainz 05",24,1997,5.5,1,7,3,"42.9","1.26","0.54",0.14,"0.33",19.2,0,0,0,0.6,0.6,0.1,0.4,"+0.4","DF",""
1458,"Andi Zeqiri","SUI","FW","Bundesliga","Augsburg",22,1999,8.3,2,21,6,"28.6","2.53","0.72",0.1,"0.33",14.2,0,0,0,2.5,2.5,0.12,-0.5,"-0.5","FW",""
672,"Andoni Gorosabel","ESP","DF","La Liga","Real Sociedad",25,1996,11.5,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
160,"André Gomes","POR","MF","Premier League","Everton",28,1993,2.8,0,10,2,"20.0","3.57","0.71",0,"0.00",21,0,0,0,0.6,0.6,0.06,-0.6,"-0.6","MF",""
1157,"André Hahn","GER","FWMF","Bundesliga","Augsburg",31,1990,12.4,2,24,12,"50.0","1.93","0.97",0.08,"0.17",16.4,0,0,0,1.6,1.6,0.06,0.4,"+0.4","FW","MF"
1391,"André Silva","POR","FW","Bundesliga","RB Leipzig",26,1995,11.8,5,28,11,"39.3","2.37","0.93",0.14,"0.36",10.8,0,1,1,6.5,5.7,0.21,-1.5,"-1.7","FW",""
1501,"Andrea Belotti","ITA","FW","Serie A","Torino",28,1993,5.3,2,15,4,"26.7","2.82","0.75",0.13,"0.50",15,1,0,0,1.2,1.2,0.08,0.8,"+0.8","FW",""
1534,"Andrea Cambiaso","ITA","DF","Serie A","Genoa",21,2000,16.3,1,10,5,"50.0","0.61","0.31",0.1,"0.20",19.4,0,0,0,0.7,0.7,0.07,0.3,"+0.3","DF",""
1541,"Andrea Carboni","ITA","DF","Serie A","Cagliari",20,2001,16.4,0,6,0,"0.0","0.37","0.00",0,NA,11.9,0,0,0,0.3,0.3,0.05,-0.3,"-0.3","DF",""
1557,"Andrea Consigli","ITA","GK","Serie A","Sassuolo",34,1987,18,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1615,"Andrea Favilli","ITA","FW","Serie A","Genoa",24,1997,0.4,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
1700,"Andrea La Mantia","ITA","FWMF","Serie A","Empoli",30,1991,1.1,1,7,1,"14.3","6.49","0.93",0.14,"1.00",10.9,0,0,0,0.7,0.7,0.09,0.3,"+0.3","FW","MF"
1743,"Andrea Masiello","ITA","DF","Serie A","Genoa",35,1986,5.7,0,2,0,"0.0","0.35","0.00",0,NA,19,0,0,0,0,0,0.02,0,"0.0","DF",""
1812,"Andrea Petagna","ITA","FW","Serie A","Napoli",26,1995,3.9,1,8,2,"25.0","2.05","0.51",0.13,"0.50",12.2,0,0,0,0.9,0.9,0.11,0.1,"+0.1","FW",""
1815,"Andrea Pinamonti","ITA","FW","Serie A","Empoli",22,1999,14.9,7,53,11,"20.8","3.56","0.74",0.08,"0.36",15.4,1,3,3,7.4,5.2,0.1,-0.4,"-1.2","FW",""
1831,"Andrea Ranocchia","ITA","DF","Serie A","Inter",33,1988,2.3,0,1,0,"0.0","0.44","0.00",0,NA,6,0,0,0,0.1,0.1,0.09,-0.1,"-0.1","DF",""
1869,"Andrea Schiavone","ITA","MF","Serie A","Salernitana",28,1993,5,1,2,1,"50.0","0.40","0.20",0.5,"1.00",10.5,0,0,0,0.3,0.3,0.13,0.7,"+0.7","MF",""
69,"Andreas Christensen","DEN","DF","Premier League","Chelsea",25,1996,11.1,0,3,0,"0.0","0.27","0.00",0,NA,20.3,0,0,0,0.3,0.3,0.1,-0.3,"-0.3","DF",""
1254,"Andreas Luthe","GER","GK","Bundesliga","Union Berlin",34,1987,17,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1885,"Andreas Skov Olsen","DEN","DFFW","Serie A","Bologna",22,1999,6.9,0,5,2,"40.0","0.73","0.29",0,"0.00",12.8,0,0,0,0.8,0.8,0.15,-0.8,"-0.8","DF","FW"
1439,"Andreas Voglsammer","GER","FWMF","Bundesliga","Union Berlin",29,1992,3.3,1,12,6,"50.0","3.62","1.81",0.08,"0.17",13.4,1,0,0,1.1,1.1,0.09,-0.1,"-0.1","FW","MF"
1955,"Andre-Frank Zambo Anguissa","CMR","MF","Serie A","Napoli",26,1995,13.1,0,16,2,"12.5","1.22","0.15",0,"0.00",19,0,0,0,1,1,0.06,-1,"-1.0","MF",""
2172,"Andrei Girotto","BRA","MFDF","Ligue 1","Nantes",29,1992,18.4,3,26,3,"11.5","1.42","0.16",0.12,"1.00",15.3,1,0,0,1.4,1.4,0.05,1.6,"+1.6","MF","DF"
1229,"Andrej Kramaric","CRO","FWMF","Bundesliga","Hoffenheim",30,1991,14.2,2,47,15,"31.9","3.30","1.05",0.04,"0.13",15.7,5,0,0,5.1,5.1,0.11,-3.1,"-3.1","FW","MF"
1016,"Andrés Andrade Cedeño","PAN","DF","Bundesliga","Arminia",23,1998,4.7,0,3,0,"0.0","0.64","0.00",0,NA,17,0,0,0,0.1,0.1,0.03,-0.1,"-0.1","DF",""
678,"Andrés Guardado","MEX","MF","La Liga","Betis",35,1986,9.1,0,7,1,"14.3","0.77","0.11",0,"0.00",25.3,0,0,0,0.6,0.6,0.08,-0.6,"-0.6","MF",""
778,"Andrés Martín","ESP","FWMF","La Liga","Rayo Vallecano",22,1999,1.6,0,4,1,"25.0","2.55","0.64",0,"0.00",15.2,0,0,0,0.4,0.4,0.09,-0.4,"-0.4","FW","MF"
2180,"Andrew Gravillon","FRA","DF","Ligue 1","Reims",23,1998,16.8,0,7,2,"28.6","0.42","0.12",0,"0.00",19.7,1,0,0,0.2,0.2,0.03,-0.2,"-0.2","DF",""
320,"Andrew Omobamidele","IRL","DF","Premier League","Norwich City",19,2002,4.2,1,2,1,"50.0","0.47","0.24",0.5,"1.00",6.5,0,0,0,0.3,0.3,0.14,0.7,"+0.7","DF",""
359,"Andrew Robertson","SCO","DF","Premier League","Liverpool",27,1994,13.5,1,5,3,"60.0","0.37","0.22",0.2,"0.33",14.3,0,0,0,1,1,0.19,0,"0.0","DF",""
474,"Andriy Yarmolenko","UKR","FWMF","Premier League","West Ham",32,1989,0.8,0,3,0,"0.0","3.86","0.00",0,NA,20.7,0,0,0,0.1,0.1,0.04,-0.1,"-0.1","FW","MF"
436,"Andros Townsend","ENG","MF","Premier League","Everton",30,1991,14.1,3,17,9,"52.9","1.21","0.64",0.12,"0.22",21.7,3,1,1,2.2,1.4,0.08,0.8,"+0.6","MF",""
2097,"Andy Delort","ALG","FW","Ligue 1","Nice",30,1991,12.1,5,44,18,"40.9","3.63","1.48",0.09,"0.22",16,1,1,1,5.9,5.1,0.12,-0.9,"-1.1","FW",""
2117,"Andy Diouf","FRA","MF","Ligue 1","Rennes",19,2002,0.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
587,"Ángel Correa","ARG","FWMF","La Liga","Atlético Madrid",26,1995,10.9,4,26,8,"30.8","2.38","0.73",0.15,"0.50",19.2,0,0,0,3.1,3.1,0.12,0.9,"+0.9","FW","MF"
2102,"Ángel Di María","ARG","FWMF","Ligue 1","Paris S-G",33,1988,10.5,3,29,12,"41.4","2.75","1.14",0.1,"0.25",18.7,1,0,0,3.3,3.3,0.11,-0.3,"-0.3","FW","MF"
2174,"Angel Gomes","ENG","MF","Ligue 1","Lille",21,2000,4.9,0,3,0,"0.0","0.61","0.00",0,NA,20.5,0,0,0,0.2,0.2,0.06,-0.2,"-0.2","MF",""
813,"Ángel Montoro","ESP","MF","La Liga","Granada",33,1988,10.5,1,12,2,"16.7","1.14","0.19",0.08,"0.50",20.8,0,0,0,0.7,0.7,0.06,0.3,"+0.3","MF",""
908,"Ángel Rodríguez","ESP","FW","La Liga","Mallorca",34,1987,7.7,1,15,7,"46.7","1.94","0.91",0.07,"0.14",11.9,0,0,0,2.8,2.8,0.19,-1.8,"-1.8","FW",""
1018,"Angeliño","ESP","DF","Bundesliga","RB Leipzig",24,1997,12.4,0,9,2,"22.2","0.72","0.16",0,"0.00",14.6,0,0,0,0.8,0.8,0.09,-0.8,"-0.8","DF",""
2161,"Angelo Fulgini","FRA","MFFW","Ligue 1","Angers",25,1996,16.3,3,34,10,"29.4","2.08","0.61",0.09,"0.30",15.1,1,0,0,4.3,4.3,0.13,-1.3,"-1.3","MF","FW"
318,"Angelo Ogbonna","ITA","DF","Premier League","West Ham",33,1988,10.2,1,3,1,"33.3","0.29","0.10",0.33,"1.00",11.1,0,0,0,0.3,0.3,0.09,0.7,"+0.7","DF",""
1407,"Angelo Stiller","GER","MF","Bundesliga","Hoffenheim",20,2001,7.7,1,5,2,"40.0","0.65","0.26",0.2,"0.50",15.8,0,0,0,0.3,0.3,0.06,0.7,"+0.7","MF",""
173,"Angus Gunn","ENG","GK","Premier League","Norwich City",25,1996,2,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
