"Rk","Player","Nation","Pos","Competition","Squad","Age","Born","noventas","Gls","Sh","SoT","SoT%","Sh_noventa","SoT_noventa","G_Sh","G_SoT","Dist","FK","PK","PKatt","xG","npxG","npxG_Sh","G_xG","npG-xG","Pos_main","Pos_secondary"
1607,"Caleb Ekuban","GHA","FWMF","Serie A","Genoa",27,1994,9.7,0,17,4,"23.5","1.75","0.41",0,"0.00",15,0,0,0,2.1,2.1,0.12,-2.1,"-2.1","FW","MF"
188,"Callum Hudson-Odoi","ENG","FWMF","Premier League","Chelsea",21,2000,8.4,1,14,7,"50.0","1.68","0.84",0.07,"0.14",13.5,0,0,0,1.8,1.8,0.13,-0.8,"-0.8","FW","MF"
468,"Callum Wilson","ENG","FW","Premier League","Newcastle Utd",29,1992,13.2,6,25,9,"36.0","1.90","0.68",0.2,"0.56",11.5,0,1,1,4.4,3.6,0.15,1.6,"+1.4","FW",""
66,"Calum Chambers","ENG","DF","Premier League","Arsenal",26,1995,1.9,0,2,0,"0.0","1.06","0.00",0,NA,20.3,0,0,0,0.1,0.1,0.04,-0.1,"-0.1","DF",""
2433,"Calvin Stengs","NED","MF","Ligue 1","Nice",23,1998,7.8,1,15,4,"26.7","1.93","0.52",0.07,"0.25",17.3,0,0,0,2.5,2.5,0.16,-1.5,"-1.5","MF",""
18,"Cameron Archer","ENG","MFFW","Premier League","Aston Villa",20,2001,0.3,0,1,0,"0.0","3.33","0.00",0,NA,13,0,0,0,0,0,0.02,0,"0.0","MF","FW"
216,"Caoimhín Kelleher","IRL","GK","Premier League","Liverpool",23,1998,1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
566,"Cárdenas","ESP","GK","La Liga","Levante",24,1997,9,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
497,"Carles Aleñá","ESP","MFFW","La Liga","Getafe",23,1998,14.5,0,23,4,"17.4","1.58","0.28",0,"0.00",24.5,0,0,0,0.7,0.7,0.03,-0.7,"-0.7","MF","FW"
1807,"Carles Pérez","ESP","MFFW","Serie A","Roma",23,1998,3.4,0,12,2,"16.7","3.52","0.59",0,"0.00",19.7,0,0,0,0.6,0.6,0.05,-0.6,"-0.6","MF","FW"
487,"Carlos Akapo","EQG","DF","La Liga","Cádiz",28,1993,7.6,0,4,1,"25.0","0.52","0.13",0,"0.00",18.1,0,0,0,0.2,0.2,0.06,-0.2,"-0.2","DF",""
519,"Carlos Bacca","COL","FW","La Liga","Granada",35,1986,5.2,0,7,2,"28.6","1.35","0.38",0,"0.00",13.9,0,0,0,0.7,0.7,0.09,-0.7,"-0.7","FW",""
583,"Carlos Clerc","ESP","DF","La Liga","Levante",29,1992,14.3,0,1,0,"0.0","0.07","0.00",0,NA,3.6,0,0,0,0.2,0.2,0.22,-0.2,"-0.2","DF",""
613,"Carlos Dominguez","ESP","DF","La Liga","Celta Vigo",21,2001,1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
1144,"Carlos Gruezo","ECU","MF","Bundesliga","Augsburg",26,1995,4.2,0,2,0,"0.0","0.48","0.00",0,NA,27.2,0,0,0,0.1,0.1,0.05,-0.1,"-0.1","MF",""
779,"Carlos Martín","ESP","DF","La Liga","Atlético Madrid",19,2002,0.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
836,"Carlos Neva","ESP","DF","La Liga","Granada",25,1996,15.1,0,4,0,"0.0","0.26","0.00",0,NA,22.5,0,0,0,0.3,0.3,0.08,-0.3,"-0.3","DF",""
944,"Carlos Soler","ESP","MF","La Liga","Valencia",25,1997,12.9,7,15,7,"46.7","1.16","0.54",0.13,"0.29",22.3,2,5,5,5.7,1.9,0.12,1.3,"+0.1","MF",""
70,"Carney Chukwuemeka","ENG","MFFW","Premier League","Aston Villa",17,2004,1.4,0,2,1,"50.0","1.45","0.73",0,"0.00",14.5,0,0,0,0.4,0.4,0.21,-0.4,"-0.4","MF","FW"
572,"Casemiro","BRA","MF","La Liga","Real Madrid",29,1992,15.8,0,18,2,"11.1","1.14","0.13",0,"0.00",27.9,0,0,0,0.8,0.8,0.05,-0.8,"-0.8","MF",""
2347,"Casimir Ninga","CHA","FW","Ligue 1","Angers",28,1993,0.7,0,1,0,"0.0","1.48","0.00",0,NA,19,0,0,0,0.1,0.1,0.07,-0.1,"-0.1","FW",""
2276,"Castello Lukeba","FRA","DF","Ligue 1","Lyon",19,2002,4.5,1,1,1,"100.0","0.22","0.22",1,"1.00",5.8,0,0,0,0.1,0.1,0.06,0.9,"+0.9","DF",""
574,"Catena","ESP","DF","La Liga","Rayo Vallecano",27,1994,18,1,10,4,"40.0","0.56","0.22",0.1,"0.25",8.6,0,0,0,1.1,1.1,0.11,-0.1,"-0.1","DF",""
1067,"Cédric Brunner","SUI","DF","Bundesliga","Arminia",27,1994,15.1,0,8,0,"0.0","0.53","0.00",0,NA,26.3,0,0,0,0.2,0.2,0.02,-0.2,"-0.2","DF",""
1639,"Cedric Gondo","CIV","FW","Serie A","Salernitana",25,1996,6,1,16,7,"43.8","2.65","1.16",0.06,"0.14",15.2,0,0,0,1.3,1.3,0.08,-0.3,"-0.3","FW",""
2207,"Cédric Hountondji","BEN","DF","Ligue 1","Clermont Foot",27,1994,12.6,0,6,2,"33.3","0.48","0.16",0,"0.00",8.3,0,0,0,0.5,0.5,0.08,-0.5,"-0.5","DF",""
1189,"Cedric Itten","SUI","FW","Bundesliga","Greuther Fürth",25,1996,7.1,2,16,9,"56.3","2.27","1.28",0.13,"0.22",13.9,0,0,0,2.7,2.7,0.17,-0.7,"-0.7","FW",""
406,"Cédric Soares","POR","DF","Premier League","Arsenal",30,1991,2.4,0,1,0,"0.0","0.41","0.00",0,NA,22,0,0,0,0,0,0.02,0,"0.0","DF",""
1418,"Cedric Teuchert","GER","MFFW","Bundesliga","Union Berlin",24,1997,1.2,0,3,1,"33.3","2.57","0.86",0,"0.00",14.7,0,0,0,0.2,0.2,0.07,-0.2,"-0.2","MF","FW"
2463,"Cengiz Ünder","TUR","FWMF","Ligue 1","Marseille",24,1997,11.1,4,30,8,"26.7","2.71","0.72",0.13,"0.50",17,1,0,0,2.5,2.5,0.08,1.5,"+1.5","FW","MF"
435,"Cenk Tosun","TUR","FW","Premier League","Everton",30,1991,0.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
26,"César Azpilicueta","ESP","DF","Premier League","Chelsea",32,1989,11.4,0,7,1,"14.3","0.61","0.09",0,"0.00",13,0,0,0,0.6,0.6,0.09,-0.6,"-0.6","DF",""
2144,"Cesc Fàbregas","ESP","MF","Ligue 1","Monaco",34,1987,0.4,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
576,"Chapela","ESP","MF","La Liga","Cádiz",22,1999,2.9,0,1,0,"0.0","0.34","0.00",0,NA,15.5,0,0,0,0,0,0.02,0,"0.0","MF",""
1720,"Charalambos Lykogiannis","GRE","DF","Serie A","Cagliari",28,1993,12.8,0,12,4,"33.3","0.94","0.31",0,"0.00",24.1,4,0,0,0.5,0.5,0.04,-0.5,"-0.5","DF",""
1974,"Charles Abi","FRA","FW","Ligue 1","Saint-Étienne",21,2000,0.5,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
1021,"Charles Aránguiz","CHI","MF","Bundesliga","Leverkusen",32,1989,8.3,1,4,2,"50.0","0.48","0.24",0.25,"0.50",13.6,0,0,0,0.9,0.9,0.23,0.1,"+0.1","MF",""
2031,"Charles Boli","FRA","MF","Ligue 1","Lens",23,1998,0.4,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
2455,"Charles Traore","MLI","DF","Ligue 1","Nantes",30,1992,6.5,0,1,1,"100.0","0.15","0.15",0,"0.00",23,0,0,0,0,0,0.04,0,"0.0","DF",""
84,"Charlie Cresswell","ENG","DF","Premier League","Leeds United",19,2002,1.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
162,"Charlie Goode","ENG","DF","Premier League","Brentford",26,1995,5,0,2,0,"0.0","0.40","0.00",0,NA,10.5,0,0,0,0.1,0.1,0.07,-0.1,"-0.1","DF",""
424,"Charlie Taylor","ENG","DF","Premier League","Burnley",28,1993,15,0,3,0,"0.0","0.20","0.00",0,NA,20.2,0,0,0,0.1,0.1,0.03,-0.1,"-0.1","DF",""
2,"Che Adams","SCO","FW","Premier League","Southampton",25,1996,9.6,3,21,11,"52.4","2.18","1.14",0.14,"0.27",14.5,0,0,0,2.4,2.4,0.11,0.6,"+0.6","FW",""
2131,"Cheick Doucouré","MLI","MF","Ligue 1","Lens",21,2000,15.6,0,14,5,"35.7","0.90","0.32",0,"0.00",20.8,0,0,0,0.9,0.9,0.07,-0.9,"-0.9","MF",""
2346,"Cheikh Niasse","SEN","FWMF","Ligue 1","Lille",21,2000,0.3,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW","MF"
2449,"Cheikh Tidiane Sabaly","SEN","FWMF","Ligue 1","Metz",22,1999,1.5,0,2,1,"50.0","1.33","0.67",0,"0.00",18.4,0,0,0,0.1,0.1,0.05,-0.1,"-0.1","FW","MF"
225,"Cheikhou Kouyaté","SEN","MF","Premier League","Crystal Palace",32,1989,14.7,0,4,0,"0.0","0.27","0.00",0,NA,20.4,0,0,0,0.2,0.2,0.04,-0.2,"-0.2","MF",""
577,"Chema","ESP","MF","La Liga","Getafe",29,1992,0.5,0,1,0,"0.0","2.00","0.00",0,NA,26,0,0,0,0,0,0.03,0,"0.0","MF",""
2461,"Chimuanya Ugochukwu","FRA","MF","Ligue 1","Rennes",17,2004,3.9,1,4,1,"25.0","1.02","0.25",0.25,"1.00",17,0,0,0,0.3,0.3,0.07,0.7,"+0.7","MF",""
1121,"Chris Führich","GER","FWDF","Bundesliga","Stuttgart",23,1998,4.7,1,4,3,"75.0","0.86","0.64",0.25,"0.33",19.6,0,0,0,0.2,0.2,0.05,0.8,"+0.8","FW","DF"
1350,"Chris Richards","USA","DF","Bundesliga","Hoffenheim",21,2000,9.5,1,6,2,"33.3","0.63","0.21",0.17,"0.50",6.9,0,0,0,0.8,0.8,0.14,0.2,"+0.2","DF",""
1887,"Chris Smalling","ENG","DF","Serie A","Roma",32,1989,7.2,2,3,2,"66.7","0.41","0.28",0.67,"1.00",6,0,0,0,0.7,0.7,0.23,1.3,"+1.3","DF",""
471,"Chris Wood","NZL","FW","Premier League","Burnley",30,1991,14.3,3,29,9,"31.0","2.03","0.63",0.1,"0.33",11.9,0,0,0,3.9,3.9,0.14,-0.9,"-0.9","FW",""
2301,"Chrislain Matsima","FRA","DF","Ligue 1","Monaco",19,2002,0.7,0,1,0,"0.0","1.50","0.00",0,NA,10,0,0,0,0.1,0.1,0.09,-0.1,"-0.1","DF",""
41,"Christian Benteke","BEL","FW","Premier League","Crystal Palace",31,1990,11.9,4,39,13,"33.3","3.28","1.09",0.1,"0.31",11.4,0,0,0,5.4,5.4,0.14,-1.4,"-1.4","FW",""
1150,"Christian Günter","GER","DF","Bundesliga","Freiburg",28,1993,17,0,10,2,"20.0","0.59","0.12",0,"0.00",20.5,0,0,0,0.4,0.4,0.04,-0.4,"-0.4","DF",""
210,"Christian Kabasele","BEL","DF","Premier League","Watford",30,1991,2.3,0,1,0,"0.0","0.44","0.00",0,NA,6,0,0,0,0.2,0.2,0.22,-0.2,"-0.2","DF",""
317,"Christian Nørgaard","DEN","MF","Premier League","Brentford",27,1994,16.6,1,17,6,"35.3","1.02","0.36",0.06,"0.17",11.9,0,0,0,2.1,2.1,0.12,-1.1,"-1.1","MF",""
1786,"Christian Oliva","URU","MF","Serie A","Cagliari",25,1996,0.5,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
342,"Christian Pulisic","USA","FWDF","Premier League","Chelsea",23,1998,6.6,2,9,5,"55.6","1.35","0.75",0.22,"0.40",8.5,0,0,0,2,2,0.22,0,"0.0","FW","DF"
1038,"Christoph Baumgartner","AUT","MFFW","Bundesliga","Hoffenheim",22,1999,7.6,3,19,8,"42.1","2.51","1.06",0.16,"0.38",11.9,0,0,0,3.6,3.6,0.19,-0.6,"-0.6","MF","FW"
1230,"Christoph Kramer","GER","MF","Bundesliga","M'Gladbach",30,1991,4.3,0,3,1,"33.3","0.69","0.23",0,"0.00",14.4,0,0,0,0.2,0.2,0.06,-0.2,"-0.2","MF",""
2203,"Christophe Hérelle","MTQ","DF","Ligue 1","Brest",29,1992,7.1,0,1,0,"0.0","0.14","0.00",0,NA,11,0,0,0,0.1,0.1,0.06,-0.1,"-0.1","DF",""
1020,"Christopher Antwi-Adjei","GHA","FWMF","Bundesliga","Bochum",27,1994,6.7,0,15,4,"26.7","2.24","0.60",0,"0.00",15.7,0,0,0,1.4,1.4,0.09,-1.4,"-1.4","FW","MF"
1243,"Christopher Lenz","GER","DF","Bundesliga","Eint Frankfurt",27,1994,3.9,0,1,0,"0.0","0.26","0.00",0,NA,27.1,0,0,0,0,0,0.01,0,"0.0","DF",""
1298,"Christopher Nkunku","FRA","FWMF","Bundesliga","RB Leipzig",24,1997,16.2,7,45,21,"46.7","2.77","1.29",0.16,"0.33",15.4,3,0,0,7.1,7.1,0.16,-0.1,"-0.1","FW","MF"
1431,"Christopher Trimmel","AUT","DF","Bundesliga","Union Berlin",34,1987,9.5,1,11,3,"27.3","1.16","0.32",0.09,"0.33",18.3,1,0,0,0.7,0.7,0.07,0.3,"+0.3","DF",""
2470,"Christopher Wooh","FRA","DF","Ligue 1","Lens",20,2001,5.3,0,4,1,"25.0","0.75","0.19",0,"0.00",11,0,0,0,1,1,0.25,-1,"-1.0","DF",""
445,"Christos Tzolis","GRE","FWMF","Premier League","Norwich City",19,2002,3.2,0,5,2,"40.0","1.58","0.63",0,"0.00",15.6,0,0,0,0.5,0.5,0.09,-0.5,"-0.5","FW","MF"
71,"Ciaran Clark","IRL","DF","Premier League","Newcastle Utd",32,1989,11,0,7,1,"14.3","0.64","0.09",0,"0.00",7,0,0,0,0.8,0.8,0.11,-0.8,"-0.8","DF",""
1908,"Ciprian Tataru<U+0219>anu","ROU","GK","Serie A","Milan",35,1986,6,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1668,"Ciro Immobile","ITA","FW","Serie A","Lazio",31,1990,14.1,13,49,22,"44.9","3.47","1.56",0.2,"0.45",14.8,0,3,4,10.2,7.1,0.15,2.8,"+2.9","FW",""
549,"Claudio Bravo","CHI","GK","La Liga","Betis",38,1983,7,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
750,"Clément Lenglet","FRA","DF","La Liga","Barcelona",26,1995,4.4,0,1,1,"100.0","0.23","0.23",0,"0.00",10,0,0,0,0.1,0.1,0.06,-0.1,"-0.1","DF",""
1279,"Clinton Mola","ENG","DF","Bundesliga","Stuttgart",20,2001,1.3,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
114,"Cody Drameh","ENG","DF","Premier League","Leeds United",20,2001,1.4,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
584,"Coke","ESP","DF","La Liga","Levante",34,1987,0.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
325,"Cole Palmer","ENG","FWMF","Premier League","Manchester City",19,2002,1.4,0,4,1,"25.0","2.93","0.73",0,"0.00",20.1,0,0,0,0.3,0.3,0.08,-0.3,"-0.3","FW","MF"
2087,"Colin Dagba","FRA","DF","Ligue 1","Paris S-G",23,1998,1.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
1301,"Connor Noß","IRL","MF","Bundesliga","M'Gladbach",21,2001,0,0,1,0,"0.0","45.00","0.00",0,NA,13.5,0,0,0,0.1,0.1,0.07,-0.1,"-0.1","MF",""
357,"Connor Roberts","WAL","DF","Premier League","Burnley",26,1995,0.2,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
74,"Conor Coady","ENG","DF","Premier League","Wolves",28,1993,18,1,5,1,"20.0","0.28","0.06",0.2,"1.00",9.3,0,0,0,1,1,0.2,0,"0.0","DF",""
148,"Conor Gallagher","ENG","MF","Premier League","Crystal Palace",21,2000,16.4,6,34,14,"41.2","2.07","0.85",0.18,"0.43",16.3,3,0,0,3.6,3.6,0.11,2.4,"+2.4","MF",""
2216,"Corentin Jean","FRA","FWMF","Ligue 1","Lens",26,1995,1.9,0,4,0,"0.0","2.11","0.00",0,NA,12.9,0,0,0,0.4,0.4,0.11,-0.4,"-0.4","FW","MF"
1426,"Corentin Tolisso","FRA","MF","Bundesliga","Bayern Munich",27,1994,4.1,0,6,0,"0.0","1.45","0.00",0,NA,17.8,0,0,0,0.5,0.5,0.08,-0.5,"-0.5","MF",""
63,"Craig Cathcart","NIR","DF","Premier League","Watford",32,1989,15.3,0,1,0,"0.0","0.07","0.00",0,NA,8,0,0,0,0.1,0.1,0.05,-0.1,"-0.1","DF",""
94,"Craig Dawson","ENG","DF","Premier League","West Ham",31,1990,13.9,0,13,3,"23.1","0.93","0.22",0,"0.00",8.3,0,0,0,1.2,1.2,0.09,-1.2,"-1.2","DF",""
1472,"Cristian Ansaldi","ARG","DF","Serie A","Torino",35,1986,4,0,4,1,"25.0","1.01","0.25",0,"0.00",18.7,0,0,0,0.2,0.2,0.04,-0.2,"-0.2","DF",""
1125,"Cristian Gamboa","CRC","DF","Bundesliga","Bochum",32,1989,5.3,0,1,0,"0.0","0.19","0.00",0,NA,29.4,0,0,0,0,0,0.01,0,"0.0","DF",""
1763,"Cristian Molinaro","ITA","DF","Serie A","Venezia",38,1983,5.3,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
365,"Cristian Romero","ARG","DF","Premier League","Tottenham",23,1998,5.9,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
958,"Cristian Tello","ESP","FWMF","La Liga","Betis",30,1991,3.7,0,12,1,"8.3","3.27","0.27",0,"0.00",20.4,2,0,0,1,1,0.08,-1,"-1.0","FW","MF"
1945,"Cristian Volpato","AUS","MF","Serie A","Roma",18,2003,0,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
1511,"Cristiano Biraghi","ITA","DF","Serie A","Fiorentina",29,1992,16.9,2,15,6,"40.0","0.89","0.35",0.07,"0.17",22.9,5,1,1,1.7,1,0.06,0.3,"0.0","DF",""
872,"Cristiano Piccini","ITA","DF","La Liga","Valencia",29,1992,2.7,1,3,1,"33.3","1.10","0.37",0.33,"1.00",17.7,0,0,0,0.1,0.1,0.04,0.9,"+0.9","DF",""
367,"Cristiano Ronaldo","POR","FW","Premier League","Manchester Utd",36,1985,13.4,8,53,18,"34.0","3.95","1.34",0.11,"0.33",14.6,3,2,2,8.7,7.2,0.14,-0.7,"-1.2","FW",""
593,"Cristo","ESP","DF","La Liga","Real Sociedad",21,2000,0.2,0,1,0,"0.0","5.29","0.00",0,NA,35.3,0,0,0,0,0,0.01,0,"0.0","DF",""
418,"Crysencio Summerville","NED","MFFW","Premier League","Leeds United",20,2001,1.4,0,2,0,"0.0","1.48","0.00",0,NA,11.9,0,0,0,0.3,0.3,0.13,-0.3,"-0.3","MF","FW"
85,"Cucho","COL","FWMF","Premier League","Watford",22,1999,7.3,2,18,4,"22.2","2.47","0.55",0.11,"0.50",18.6,3,0,0,0.9,0.9,0.05,1.1,"+1.1","FW","MF"
205,"Curtis Jones","ENG","MF","Premier League","Liverpool",20,2001,3.6,1,6,1,"16.7","1.68","0.28",0.17,"1.00",20.2,0,0,0,0.4,0.4,0.07,0.6,"+0.6","MF",""
1657,"Daan Heymans","BEL","MFFW","Serie A","Venezia",22,1999,2.8,0,3,1,"33.3","1.05","0.35",0,"0.00",13.2,0,0,0,0.1,0.1,0.04,-0.1,"-0.1","MF","FW"
1204,"Daichi Kamada","JPN","MFFW","Bundesliga","Eint Frankfurt",25,1996,12.9,1,20,3,"15.0","1.55","0.23",0.05,"0.33",17.1,0,0,0,2.3,2.3,0.12,-1.3,"-1.3","MF","FW"
1652,"Dalbert Henrique","BRA","DFMF","Serie A","Cagliari",28,1993,9.4,0,5,0,"0.0","0.53","0.00",0,NA,15.6,0,0,0,0.8,0.8,0.17,-0.8,"-0.8","DF","MF"
413,"Dale Stephens","ENG","MF","Premier League","Burnley",32,1989,0.4,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
1393,"Daley Sinkgraven","NED","DF","Bundesliga","Leverkusen",26,1995,2.6,0,1,1,"100.0","0.39","0.39",0,"0.00",11.7,0,0,0,0.3,0.3,0.26,-0.3,"-0.3","DF",""
949,"Damián Suárez","URU","DFMF","La Liga","Getafe",33,1988,14.4,0,9,2,"22.2","0.63","0.14",0,"0.00",24.9,2,0,0,0.4,0.4,0.04,-0.4,"-0.4","DF","MF"
2086,"Damien Da Silva","FRA","DF","Ligue 1","Lyon",33,1988,4.2,0,4,1,"25.0","0.95","0.24",0,"0.00",7.6,0,0,0,0.3,0.3,0.07,-0.3,"-0.3","DF",""
1549,"Damir Ceter","COL","FW","Serie A","Cagliari",24,1997,0.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
53,"Dan Burn","ENG","DF","Premier League","Brighton",29,1992,7.4,0,3,0,"0.0","0.41","0.00",0,NA,7.3,0,0,0,0.5,0.5,0.16,-0.5,"-0.5","DF",""
164,"Dan Gosling","ENG","MF","Premier League","Watford",31,1990,0.2,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
2339,"Dan Ndoye","SUI","FWMF","Ligue 1","Nice",21,2000,2.3,0,3,0,"0.0","1.32","0.00",0,NA,13.7,0,0,0,0.1,0.1,0.05,-0.1,"-0.1","FW","MF"
1454,"Dan-Axel Zagadou","FRA","DF","Bundesliga","Dortmund",22,1999,2.3,0,3,1,"33.3","1.29","0.43",0,"0.00",7.2,0,0,0,0.3,0.3,0.1,-0.3,"-0.3","DF",""
2357,"Dango Ouattara","BFA","FWMF","Ligue 1","Lorient",19,2002,3.7,0,9,3,"33.3","2.46","0.82",0,"0.00",17.5,0,0,0,0.5,0.5,0.05,-0.5,"-0.5","FW","MF"
570,"Dani Carvajal","ESP","DF","La Liga","Real Madrid",29,1992,8.5,1,5,1,"20.0","0.59","0.12",0.2,"1.00",18.1,0,0,0,0.4,0.4,0.08,0.6,"+0.6","DF",""
649,"Dani García","ESP","MF","La Liga","Athletic Club",31,1990,15,0,9,1,"11.1","0.60","0.07",0,"0.00",18.9,0,0,0,0.7,0.7,0.08,-0.7,"-0.7","MF",""
660,"Dani Gómez","ESP","FW","La Liga","Levante",23,1998,4.9,0,8,5,"62.5","1.64","1.03",0,"0.00",17.1,0,0,0,0.7,0.7,0.09,-0.7,"-0.7","FW",""
1307,"Dani Olmo","ESP","MFFW","Bundesliga","RB Leipzig",23,1998,1.4,0,3,1,"33.3","2.21","0.74",0,"0.00",20.1,0,0,0,0.3,0.3,0.11,-0.3,"-0.3","MF","FW"
888,"Dani Raba","ESP","MFFW","La Liga","Villarreal",26,1995,0.8,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF","FW"
909,"Dani Rodríguez","ESP","FWMF","La Liga","Mallorca",33,1988,16.7,3,26,8,"30.8","1.55","0.48",0.12,"0.38",20.6,2,0,0,1.7,1.7,0.06,1.3,"+1.3","FW","MF"
15,"Daniel Amartey","GHA","DF","Premier League","Leicester City",27,1994,8.7,0,1,1,"100.0","0.11","0.11",0,"0.00",33.2,0,0,0,0,0,0.01,0,"0.0","DF",""
27,"Daniel Bachmann","AUT","GK","Premier League","Watford",27,1994,10,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1508,"Daniel Bessa","ITA","MFFW","Serie A","Hellas Verona",28,1993,3.7,1,5,2,"40.0","1.34","0.54",0.2,"0.50",24,0,0,0,0.3,0.3,0.05,0.7,"+0.7","MF","FW"
1066,"Daniel Brosinski","GER","DF","Bundesliga","Mainz 05",33,1988,2.2,0,1,0,"0.0","0.45","0.00",0,NA,45,0,0,0,0.1,0.1,0.08,-0.1,"-0.1","DF",""
1071,"Daniel Caligiuri","ITA","MFDF","Bundesliga","Augsburg",33,1988,12.5,2,21,8,"38.1","1.68","0.64",0,"0.00",24.9,4,2,2,2.5,1,0.05,-0.5,"-1.0","MF","DF"
1095,"Daniel Didavi","GER","FWMF","Bundesliga","Stuttgart",31,1990,3.1,0,7,3,"42.9","2.27","0.97",0,"0.00",16.5,1,0,0,1,1,0.14,-1,"-1.0","FW","MF"
1133,"Daniel Ginczek","GER","MFFW","Bundesliga","Wolfsburg",30,1991,0.1,0,1,1,"100.0","6.92","6.92",0,"0.00",17,0,0,0,0.1,0.1,0.11,-0.1,"-0.1","MF","FW"
195,"Daniel James","WAL","FWMF","Premier League","Leeds United",24,1997,11.7,1,26,4,"15.4","2.22","0.34",0.04,"0.25",17.4,0,0,0,1.9,1.9,0.07,-0.9,"-0.9","FW","MF"
1729,"Daniel Maldini","ITA","MFFW","Serie A","Milan",20,2001,1.3,1,2,1,"50.0","1.50","0.75",0.5,"1.00",10.6,0,0,0,0.2,0.2,0.08,0.8,"+0.8","MF","FW"
856,"Daniel Parejo","ESP","MF","La Liga","Villarreal",32,1989,13.6,0,10,2,"20.0","0.74","0.15",0,"0.00",21.9,2,0,0,0.6,0.6,0.06,-0.6,"-0.6","MF",""
338,"Daniel Podence","POR","FWMF","Premier League","Wolves",26,1995,4.8,0,10,5,"50.0","2.07","1.04",0,"0.00",22.9,1,0,0,0.8,0.8,0.08,-0.8,"-0.8","FW","MF"
994,"Daniel Vivian","ESP","DF","La Liga","Athletic Club",22,1999,8.6,1,5,3,"60.0","0.58","0.35",0.2,"0.33",11,0,0,0,0.7,0.7,0.13,0.3,"+0.3","DF",""
997,"Daniel Wass","DEN","MF","La Liga","Valencia",32,1989,16.6,1,24,7,"29.2","1.45","0.42",0.04,"0.14",23.3,1,0,0,1.7,1.7,0.07,-0.7,"-0.7","MF",""
1493,"Daniele Baselli","ITA","MFFW","Serie A","Torino",29,1992,1.6,0,1,0,"0.0","0.63","0.00",0,NA,7.3,0,0,0,0.3,0.3,0.3,-0.3,"-0.3","MF","FW"
1850,"Daniele Rugani","ITA","DF","Serie A","Juventus",27,1994,1,0,1,0,"0.0","1.00","0.00",0,NA,11.7,0,0,0,0.1,0.1,0.05,-0.1,"-0.1","DF",""
1930,"Daniele Verde","ITA","FWMF","Serie A","Spezia",25,1996,8,3,24,12,"50.0","3.00","1.50",0.13,"0.25",22.5,3,0,0,1.8,1.8,0.07,1.2,"+1.2","FW","MF"
2376,"Danijel Petkovic","MNE","GK","Ligue 1","Angers",28,1993,6,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1545,"Danilo Cataldi","ITA","MF","Serie A","Lazio",27,1994,10.5,1,5,1,"20.0","0.47","0.09",0.2,"1.00",24.3,1,0,0,0.2,0.2,0.04,0.8,"+0.8","MF",""
